20:46:40: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 51] Logger initialized
20:46:40: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 4.00)
20:46:41: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 1.00)
20:46:41: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.67)
20:46:42: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.50)
20:46:42: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.40)
20:46:43: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.33)
20:46:43: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.29)
20:46:44: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 2.50, 0.25)
20:46:44: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 4.44, 0.22)
20:46:45: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 6.00, 0.20)
20:46:45: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (1.82, 5.45, 0.18)
20:46:46: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (3.33, 5.00, 0.17)
20:46:46: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (4.62, 4.62, 0.15)
20:46:47: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (4.29, 2.86, 0.14)
20:46:47: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (4.00, 1.33, 0.13)
20:46:48: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (3.75, 0.00, 0.12)
20:46:48: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (2.35, 0.00, 0.12)
20:46:49: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (1.11, 0.00, 0.11)
20:46:49: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.11)
20:46:50: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 1.00, 0.10)
20:46:50: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 1.90, 0.10)
20:46:51: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 2.73, 0.09)
20:46:51: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.87, 2.61, 0.09)
20:46:52: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (1.67, 2.50, 0.08)
20:46:52: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (2.40, 2.40, 0.08)
20:46:53: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (2.31, 1.54, 0.08)
20:46:53: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (2.22, 0.74, 0.07)
20:46:54: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (2.14, 0.00, 0.07)
20:46:54: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (1.38, 0.00, 0.07)
20:46:55: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.67, 0.00, 0.07)
20:46:55: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] avg velocity for trip so far: (0.00, 0.00, 0.06)
